filename,width,height,class,xmin,ymin,xmax,ymax
woman-picking-garbage-in-nature-picture-id1244353138_jpg.rf.642ab179b74a3d8e6934bb369d5b2c34.jpg,416,416,Bags,191,365,267,407
woman-picking-garbage-in-nature-picture-id1244353138_jpg.rf.642ab179b74a3d8e6934bb369d5b2c34.jpg,416,416,Bags,329,321,365,376
woman-picking-garbage-in-nature-picture-id1244353138_jpg.rf.642ab179b74a3d8e6934bb369d5b2c34.jpg,416,416,Jugs- containers,320,379,350,407
woman-picking-garbage-in-nature-picture-id1244353138_jpg.rf.642ab179b74a3d8e6934bb369d5b2c34.jpg,416,416,Plastic beverage bottle_Small,106,314,133,332
woman-picking-garbage-in-nature-picture-id1244353138_jpg.rf.642ab179b74a3d8e6934bb369d5b2c34.jpg,416,416,Bags,385,325,404,349
plastic-bottle-on-the-nature-picture-id835138246_jpg.rf.64721aebb938d81dcdb1255085c062fb.jpg,416,416,Plastic beverage bottle_Large,59,210,288,337
worker-kamol-srilaloong-manually-separates-plastic-bottles-at-the-picture-id841778524_jpg.rf.64cfb854f5c02f9935cc051fffa04783.jpg,416,416,Jugs- containers,82,107,134,173
two-women-collecting-garbage-on-the-beach-picture-id1127273768_jpg.rf.638af92b071407d68a363be4d63c44f7.jpg,416,416,Plastic rope - net pieces,149,227,286,305
two-women-collecting-garbage-on-the-beach-picture-id1127273768_jpg.rf.638af92b071407d68a363be4d63c44f7.jpg,416,416,Bottle- container Caps,211,201,226,221
trash-on-the-beach-picture-id471432897_jpg.rf.63b8ddc910f5343954ba9e3c08c263f9.jpg,416,416,Plastic beverage bottle_Small,109,335,193,398
trash-on-the-beach-picture-id471432897_jpg.rf.63b8ddc910f5343954ba9e3c08c263f9.jpg,416,416,Plastic beverage bottle_Large,165,279,305,362
trash-on-the-beach-picture-id471432897_jpg.rf.63b8ddc910f5343954ba9e3c08c263f9.jpg,416,416,Cups,265,238,338,338
trash-on-the-beach-picture-id471432897_jpg.rf.63b8ddc910f5343954ba9e3c08c263f9.jpg,416,416,Plastic beverage bottle_Large,163,129,274,303
trash-on-the-beach-picture-id471432897_jpg.rf.63b8ddc910f5343954ba9e3c08c263f9.jpg,416,416,Glass beverage bottle,59,339,157,390
environment-pollution-at-the-beach-picture-id180713446_jpg.rf.63f8fca79f0ce66ac11711ebca6267a0.jpg,416,416,Plastic rope - net pieces,297,349,391,369
volunteers-picking-up-plastic-rubbish-on-beach-picture-id956520912_jpg.rf.6618bd33925f85b99e33433d49c75658.jpg,416,416,Plastic beverage bottle_Medium,238,278,263,295
volunteers-picking-up-plastic-rubbish-on-beach-picture-id956520912_jpg.rf.6618bd33925f85b99e33433d49c75658.jpg,416,416,Cups,216,287,239,297
volunteers-picking-up-plastic-rubbish-on-beach-picture-id956520912_jpg.rf.6618bd33925f85b99e33433d49c75658.jpg,416,416,Bags,128,205,201,282
discarded-plastic-bottles-garbage-pollution-on-the-grass-picture-id1165991358_jpg.rf.6402a26c4ffd03b6c57c54fc70661388.jpg,416,416,Plastic beverage bottle_Small,216,218,266,343
discarded-plastic-bottles-garbage-pollution-on-the-grass-picture-id1165991358_jpg.rf.6402a26c4ffd03b6c57c54fc70661388.jpg,416,416,Plastic beverage bottle_Small,274,136,326,206
discarded-plastic-bottles-garbage-pollution-on-the-grass-picture-id1165991358_jpg.rf.6402a26c4ffd03b6c57c54fc70661388.jpg,416,416,Plastic beverage bottle_Small,140,160,173,236
discarded-plastic-bottles-garbage-pollution-on-the-grass-picture-id1165991358_jpg.rf.6402a26c4ffd03b6c57c54fc70661388.jpg,416,416,Plastic beverage bottle_Small,236,139,275,214
discarded-plastic-bottles-garbage-pollution-on-the-grass-picture-id1165991358_jpg.rf.6402a26c4ffd03b6c57c54fc70661388.jpg,416,416,Plastic beverage bottle_Small,159,233,232,311
discarded-plastic-bottles-garbage-pollution-on-the-grass-picture-id1165991358_jpg.rf.6402a26c4ffd03b6c57c54fc70661388.jpg,416,416,Plastic beverage bottle_Small,209,312,273,388
